timestamp,symbol,action,confidence,buy_prob,sell_prob,hold_prob
2025-09-01 04:40:10.234000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:40:10.622000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:41:11.018000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:41:11.406000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:41:11.783000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:41:12.173000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:42:12.544000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:42:12.938000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:42:13.329000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:42:13.733000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:43:14.095000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:43:14.481000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:43:14.877000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:43:15.251000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:44:15.639000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:44:16.025000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:44:16.425000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:44:16.798000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:45:17.173000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:45:17.560000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:45:17.954000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:45:18.345000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:46:18.739000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:46:19.111000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:46:19.499000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:46:19.897000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:47:20.265000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:47:20.639000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:47:21.048000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:47:21.438000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:48:21.816000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:48:22.205000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:48:22.592000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:48:22.971000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:49:23.331000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:49:23.743000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:49:24.126000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
